SEAS,YR,TOTAL,ANOM,STATE
JFM,2011,25.68,-1.19,cold
FMA,2011,26.37,-0.93,cold
MAM,2011,26.95,-0.73,cold
AMJ,2011,27.28,-0.55,cold
MJJ,2011,27.21,-0.44,neutral
JJA,2011,26.81,-0.48,cold
JAS,2011,26.33,-0.62,cold
ASO,2011,25.93,-0.83,cold
SON,2011,25.7,-1.01,cold
OND,2011,25.58,-1.09,cold
NDJ,2011,25.58,-1.04,cold
DJF,2012,25.77,-0.86,cold
JFM,2012,26.15,-0.72,cold
FMA,2012,26.71,-0.59,cold
MAM,2012,27.21,-0.47,cold
AMJ,2012,27.57,-0.26,neutral
MJJ,2012,27.64,-0.01,neutral
JJA,2012,27.54,0.25,neutral
JAS,2012,27.32,0.37,neutral
ASO,2012,27.13,0.37,neutral
SON,2012,26.98,0.27,neutral
OND,2012,26.73,0.05,neutral
NDJ,2012,26.41,-0.21,neutral
DJF,2013,26.21,-0.43,neutral
JFM,2013,26.44,-0.43,neutral
FMA,2013,26.96,-0.34,neutral
MAM,2013,27.38,-0.3,neutral
AMJ,2013,27.47,-0.36,neutral
MJJ,2013,27.24,-0.41,neutral
JJA,2013,26.89,-0.4,neutral
JAS,2013,26.64,-0.32,neutral
ASO,2013,26.51,-0.26,neutral
SON,2013,26.54,-0.18,neutral
OND,2013,26.5,-0.17,neutral
NDJ,2013,26.35,-0.27,neutral
DJF,2014,26.22,-0.42,neutral
JFM,2014,26.41,-0.46,neutral
FMA,2014,27.03,-0.27,neutral
MAM,2014,27.73,0.04,neutral
AMJ,2014,28.04,0.21,neutral
MJJ,2014,27.82,0.16,neutral
JJA,2014,27.34,0.05,neutral
JAS,2014,27.02,0.07,neutral
ASO,2014,27,0.23,neutral
SON,2014,27.21,0.49,warm
OND,2014,27.31,0.64,warm
NDJ,2014,27.28,0.66,warm
DJF,2015,27.19,0.55,warm
JFM,2015,27.34,0.47,warm
FMA,2015,27.82,0.53,warm
MAM,2015,28.38,0.7,warm
AMJ,2015,28.76,0.93,warm
MJJ,2015,28.83,1.18,warm
JJA,2015,28.81,1.52,warm
JAS,2015,28.82,1.86,warm
ASO,2015,28.93,2.16,warm
SON,2015,29.14,2.42,warm
OND,2015,29.25,2.57,warm
NDJ,2015,29.26,2.64,warm
DJF,2016,29.12,2.48,warm
JFM,2016,29.01,2.14,warm
FMA,2016,28.88,1.58,warm
MAM,2016,28.62,0.94,warm
AMJ,2016,28.22,0.39,neutral
MJJ,2016,27.59,-0.07,neutral
JJA,2016,26.93,-0.36,neutral
JAS,2016,26.42,-0.54,cold
ASO,2016,26.14,-0.63,cold
SON,2016,26.02,-0.69,cold
OND,2016,26.01,-0.67,cold
NDJ,2016,26.06,-0.56,cold
DJF,2017,26.3,-0.34,neutral
JFM,2017,26.71,-0.16,neutral
FMA,2017,27.35,0.05,neutral
MAM,2017,27.89,0.2,neutral
AMJ,2017,28.13,0.3,neutral
MJJ,2017,27.97,0.31,neutral
JJA,2017,27.43,0.14,neutral
JAS,2017,26.84,-0.11,neutral
ASO,2017,26.38,-0.38,neutral
SON,2017,26.06,-0.65,cold
OND,2017,25.84,-0.84,cold
NDJ,2017,25.64,-0.97,cold
DJF,2018,25.72,-0.92,cold
JFM,2018,26.02,-0.85,cold
FMA,2018,26.6,-0.7,cold
MAM,2018,27.18,-0.5,cold
AMJ,2018,27.61,-0.22,neutral
MJJ,2018,27.64,-0.01,neutral
JJA,2018,27.38,0.09,neutral
JAS,2018,27.18,0.23,neutral
ASO,2018,27.25,0.49,warm
SON,2018,27.47,0.76,warm
OND,2018,27.57,0.9,warm
NDJ,2018,27.43,0.81,warm
DJF,2019,27.39,0.75,warm
JFM,2019,27.59,0.72,warm
FMA,2019,28.01,0.71,warm
MAM,2019,28.34,0.66,warm
AMJ,2019,28.37,0.54,warm
MJJ,2019,28.1,0.45,warm
JJA,2019,27.57,0.28,neutral
JAS,2019,27.1,0.14,neutral
ASO,2019,26.95,0.19,neutral
SON,2019,27.06,0.35,neutral
OND,2019,27.18,0.51,neutral
NDJ,2019,27.17,0.55,neutral
DJF,2020,27.14,0.5,neutral
JFM,2020,27.35,0.48,neutral
FMA,2020,27.7,0.4,neutral
MAM,2020,27.87,0.19,neutral
AMJ,2020,27.75,-0.08,neutral
MJJ,2020,27.35,-0.3,neutral
JJA,2020,26.88,-0.41,neutral
JAS,2020,26.38,-0.57,cold
ASO,2020,25.87,-0.89,cold
SON,2020,25.54,-1.17,cold
OND,2020,25.4,-1.27,cold
NDJ,2020,25.43,-1.19,cold
DJF,2021,25.59,-1.05,cold
JFM,2021,25.94,-0.93,cold
FMA,2021,26.46,-0.84,cold
MAM,2021,27.03,-0.66,cold
AMJ,2021,27.35,-0.48,neutral
MJJ,2021,27.28,-0.38,neutral
JJA,2021,26.89,-0.4,neutral
JAS,2021,26.46,-0.49,neutral
ASO,2021,26.09,-0.67,cold
SON,2021,25.9,-0.81,cold
OND,2021,25.69,-0.98,cold
NDJ,2021,25.63,-0.98,cold
DJF,2022,25.67,-0.97,cold
JFM,2022,25.94,-0.93,cold
FMA,2022,26.31,-0.99,cold
MAM,2022,26.62,-1.06,cold
AMJ,2022,26.84,-0.99,cold
MJJ,2022,26.8,-0.85,cold
JJA,2022,26.48,-0.81,cold
JAS,2022,26.04,-0.91,cold
ASO,2022,25.75,-1.01,cold
SON,2022,25.72,-0.99,cold
OND,2022,25.76,-0.92,cold
NDJ,2022,25.79,-0.83,cold
DJF,2023,25.96,-0.68,cold
JFM,2023,26.44,-0.43,neutral
FMA,2023,27.15,-0.15,neutral
MAM,2023,27.85,0.16,neutral
AMJ,2023,28.31,0.48,neutral
MJJ,2023,28.42,0.77,warm
JJA,2023,28.36,1.07,warm
JAS,2023,28.28,1.32,warm
ASO,2023,28.32,1.56,warm
SON,2023,28.49,1.78,warm
OND,2023,28.6,1.92,warm
NDJ,2023,28.57,1.95,warm
DJF,2024,28.42,1.78,warm
JFM,2024,28.35,1.48,warm
FMA,2024,28.43,1.14,warm
MAM,2024,28.39,0.71,warm
AMJ,2024,28.22,0.39,neutral
MJJ,2024,27.8,0.15,neutral
JJA,2024,27.33,0.03,neutral
JAS,2024,26.85,-0.11,neutral
ASO,2024,26.55,-0.21,neutral
SON,2024,26.45,-0.26,neutral
OND,2024,26.3,-0.37,neutral
NDJ,2024,26.08,-0.53,neutral
